ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
ATO,Atmos Energy Corporation,66.9,B (Accumulate),70,65,73,70,55,58,174.17,1.5,215
HAL,Halliburton Company,66.8,B (Accumulate),55,65,70,70,75,80,34.02,5.9,216
EG,"Everest Group, Ltd.",66.8,B (Accumulate),70,70,75,60,55,58,330.48,9.7,217
NTRS,Northern Trust Corporation,66.8,B (Accumulate),65,70,70,70,55,66,148.94,3.8,218
ODFL,"Old Dominion Freight Line, Inc.",66.8,B (Accumulate),75,65,73,40,55,90,194.49,0.3,219
ULTA,"Ulta Beauty, Inc.",66.8,B (Accumulate),60,65,70,70,70,73,679.28,-0.3,220
BXP,"BXP, Inc.",66.6,B (Accumulate),75,65,68,55,80,50,66.1,15.7,221
ADI,"Analog Devices, Inc.",66.6,B (Accumulate),55,70,73,55,70,90,325.16,-2.9,222
DAY,"Dayforce, Inc.",66.5,B (Accumulate),90,50,80,45,55,58,69.86,0.1,223
VICI,VICI Properties Inc.,66.3,B (Accumulate),50,65,73,75,85,65,29.25,20.1,224
POOL,Pool Corporation,66.3,B (Accumulate),65,55,70,75,80,58,267.33,15.0,225
NRG,"NRG Energy, Inc.",66.3,B (Accumulate),50,70,68,75,85,65,156.43,29.5,226
HD,"The Home Depot, Inc.",66.3,B (Accumulate),65,65,70,65,75,58,389.68,1.1,227
LHX,"L3Harris Technologies, Inc.",66.3,B (Accumulate),80,70,55,45,80,66,345.08,10.3,228
AXP,American Express Company,66.2,B (Accumulate),65,65,68,80,55,58,363.2,3.2,229
TSN,"Tyson Foods, Inc.",66.2,B (Accumulate),80,65,55,45,75,80,64.96,6.3,230
EVRG,"Evergy, Inc.",66.1,B (Accumulate),60,65,83,50,75,65,78.75,6.7,231
TRV,"The Travelers Companies, Inc.",66.1,B (Accumulate),70,70,53,80,55,65,298.61,0.8,232
WMT,Walmart Inc.,66.1,B (Accumulate),75,55,73,55,55,80,126.7,0.3,233
AMAT,"Applied Materials, Inc.",66.0,B (Accumulate),60,70,70,50,75,80,329.07,1.9,234
SCHW,The Charles Schwab Corporation,66.0,B (Accumulate),65,70,55,75,85,50,99.25,21.8,235
NVDA,NVIDIA Corporation,66.0,B (Accumulate),50,65,90,65,70,58,188.54,34.6,236
LRCX,Lam Research Corporation,66.0,B (Accumulate),50,70,70,65,85,73,226.61,21.1,237
LUV,Southwest Airlines Co.,65.8,B (Accumulate),80,65,68,45,35,90,54.07,-12.2,238
TSCO,Tractor Supply Company,65.8,B (Accumulate),50,65,83,65,75,65,54.05,6.6,239
CTVA,"Corteva, Inc.",65.8,B (Accumulate),80,70,60,30,80,73,74.22,10.5,240
ICE,"Intercontinental Exchange, Inc.",65.8,B (Accumulate),80,70,45,60,80,58,164.81,18.7,241
PH,Parker-Hannifin Corporation,65.7,B (Accumulate),50,70,73,65,75,73,991.57,2.6,242
CAG,"Conagra Brands, Inc.",65.7,B (Accumulate),85,65,68,30,50,83,19.33,-2.7,243
VTR,"Ventas, Inc.",65.7,B (Accumulate),60,65,68,55,75,83,83.9,5.7,244
BIIB,Biogen Inc.,65.7,B (Accumulate),75,65,58,50,75,73,188.99,8.7,245
L,Loews Corporation,65.6,B (Accumulate),80,65,53,70,50,65,109.96,0.0,246
EXR,Extra Space Storage Inc.,65.6,B (Accumulate),65,65,70,55,75,66,141.44,5.8,247
HRL,Hormel Foods Corporation,65.5,B (Accumulate),80,65,55,55,60,73,24.3,12.1,248
SJM,The J. M. Smucker Company,65.3,B (Accumulate),80,65,68,45,55,65,109.38,5.0,249
ETR,Entergy Corporation,65.3,B (Accumulate),50,65,73,75,75,65,99.71,5.6,250
RL,Ralph Lauren Corporation,65.3,B (Accumulate),70,65,45,80,80,58,356.18,13.3,251
CBRE,"CBRE Group, Inc.",65.3,B (Accumulate),60,70,70,55,75,66,170.33,8.8,252
RTX,RTX Corporation,65.1,B (Accumulate),65,70,55,65,75,66,195.19,9.9,253
PCG,PG&E Corporation,65.1,B (Accumulate),60,70,53,70,85,65,16.75,27.0,254
ESS,"Essex Property Trust, Inc.",65.1,B (Accumulate),70,65,68,60,55,65,262.51,7.3,255
GD,General Dynamics Corporation,65.0,B (Accumulate),65,70,55,70,75,58,358.83,9.9,256
ON,ON Semiconductor Corporation,64.8,B (Accumulate),65,55,83,30,75,90,67.38,0.9,257
ANET,"Arista Networks, Inc.",64.8,B (Accumulate),50,65,80,65,60,75,143.45,15.7,258
COST,Costco Wholesale Corporation,64.8,B (Accumulate),65,65,70,55,75,58,971.23,7.9,259
ROK,"Rockwell Automation, Inc.",64.8,B (Accumulate),70,70,55,60,75,58,412.6,3.7,260
HCA,"HCA Healthcare, Inc.",64.7,B (Accumulate),50,65,73,65,75,73,502.05,5.6,261
MNST,Monster Beverage Corporation,64.6,B (Accumulate),70,65,55,60,75,66,80.17,0.7,262
INCY,Incyte Corporation,64.6,B (Accumulate),55,65,68,85,75,40,100.05,4.4,263
FCX,Freeport-McMoRan Inc.,64.5,B (Accumulate),65,70,70,35,70,80,63.26,-0.9,264
TDG,TransDigm Group Incorporated,64.5,B (Accumulate),70,70,60,50,85,50,1311.95,21.5,265
BF-B,Brown-Forman Corporation,64.4,B (Accumulate),80,50,58,60,55,83,29.91,1.2,266
APD,"Air Products and Chemicals, Inc.",64.2,B (Accumulate),60,70,68,45,75,73,290.77,3.8,267
TJX,"The TJX Companies, Inc.",64.1,B (Accumulate),65,70,68,65,55,50,153.29,8.5,268
NVR,"NVR, Inc.",63.9,B (Accumulate),50,65,73,60,75,73,8094.28,2.1,269
VRTX,Vertex Pharmaceuticals Incorporated,63.9,B (Accumulate),55,70,55,70,80,66,463.48,11.0,270
CHTR,"Charter Communications, Inc.",63.9,B (Accumulate),70,55,53,65,60,90,248.19,13.9,271
UHS,"Universal Health Services, Inc.",63.7,B (Accumulate),50,65,58,85,80,58,212.78,17.7,272
SMCI,"Super Micro Computer, Inc.",63.6,B (Accumulate),70,40,68,80,65,60,33.33,23.9,273
DLR,"Digital Realty Trust, Inc.",63.6,B (Accumulate),60,65,68,50,80,65,172.53,12.7,274
ARE,"Alexandria Real Estate Equities, Inc.",63.5,B (Accumulate),80,65,70,30,55,65,56.86,5.6,275
GS,"The Goldman Sachs Group, Inc.",63.5,B (Accumulate),50,65,70,75,55,73,948.99,0.2,276
FMC,FMC Corporation,63.5,B (Accumulate),75,55,70,30,80,73,16.01,13.2,277
CMG,"Chipotle Mexican Grill, Inc.",63.5,B (Accumulate),65,70,45,65,80,65,38.44,15.7,278
BA,The Boeing Company,63.3,B (Accumulate),65,65,45,65,80,73,242.59,12.2,279
