ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
EXPE,102.39,1.16,6.05,115.46,10,0,0,Neutral,65,Institutional Support
EXR,99.38,0.98,3.32,209.96,10,0,0,Neutral,65,Institutional Support
F,65.42,0.26,5.65,3876.84,10,0,0,Neutral,60,Institutional Support
FANG,63.46,34.87,4.75,186.74,10,0,0,Neutral,60,Institutional Support
FAST,88.78,0.19,3.14,1144.57,10,0,0,Neutral,65,Institutional Support
FCX,85.98,0.67,2.34,1392.08,10,0,0,Neutral,70,Strong Institutional Support
FDS,96.3,0.41,5.55,36.97,10,0,0,Neutral,65,Institutional Support
FDX,80.41,7.58,1.46,217.12,10,0,0,Neutral,70,Strong Institutional Support
FE,95.25,0.16,6.5,547.08,10,0,0,Neutral,65,Institutional Support
FFIV,105.32,0.53,7.07,55.9,10,0,0,Neutral,65,Institutional Support
FI,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
FICO,92.06,2.71,5.6,23.06,10,0,0,Neutral,65,Institutional Support
FIS,98.9,0.13,3.24,516.63,10,0,0,Neutral,65,Institutional Support
FITB,66.2,0.33,9.58,656.83,10,0,0,Neutral,60,Institutional Support
FLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
FMC,88.95,0.94,11.94,124.18,10,0,0,Neutral,55,Institutional Support
FOX,65.75,38.87,10.28,334.98,10,0,0,Neutral,50,Neutral
FOXA,121.49,1.31,14.03,334.98,10,0,0,Neutral,55,Institutional Support
FRT,98.04,1.05,3.61,77.93,10,0,0,Neutral,65,Institutional Support
FSLR,103.86,5.46,10.11,101.44,10,0,0,Neutral,55,Institutional Support
FTNT,70.92,17.34,3.27,625.5,10,0,0,Neutral,60,Institutional Support
FTV,103.77,0.35,4.85,291.3,10,0,0,Neutral,65,Institutional Support
GD,87.88,0.51,1.23,253.19,10,0,0,Neutral,70,Strong Institutional Support
GDDY,102.26,0.67,6.22,134.24,10,0,0,Neutral,65,Institutional Support
GE,81.0,0.19,1.32,1045.16,10,0,0,Neutral,70,Strong Institutional Support
GEHC,89.47,0.27,3.13,454.29,10,0,0,Neutral,65,Institutional Support
GEN,89.85,9.48,3.78,461.32,10,0,0,Neutral,65,Institutional Support
GEV,80.11,0.07,2.42,269.09,10,0,0,Neutral,70,Strong Institutional Support
GILD,92.33,0.1,1.85,1237.95,10,0,0,Neutral,70,Strong Institutional Support
GIS,86.91,0.3,8.73,531.28,10,0,0,Neutral,65,Institutional Support
GL,86.42,0.64,1.95,78.93,10,0,0,Neutral,70,Strong Institutional Support
GLW,80.8,8.71,1.5,778.33,10,0,0,Neutral,70,Strong Institutional Support
GM,88.83,0.19,2.98,901.08,10,0,0,Neutral,70,Strong Institutional Support
GNRC,95.62,1.66,8.46,57.53,10,0,0,Neutral,65,Institutional Support
GOOG,60.42,6.64,0.0,10832.74,10,0,0,Neutral,65,Institutional Support
GOOGL,81.35,0.57,1.44,10832.74,10,0,0,Neutral,70,Strong Institutional Support
GPC,88.03,0.4,3.81,138.51,10,0,0,Neutral,65,Institutional Support
GPN,96.31,0.82,3.62,198.43,10,0,0,Neutral,65,Institutional Support
GRMN,57.02,14.89,1.4,163.47,10,0,0,Neutral,55,Institutional Support
GS,75.04,0.55,2.07,305.61,10,0,0,Neutral,65,Institutional Support
GWW,73.39,6.2,3.57,43.51,10,0,0,Neutral,60,Institutional Support
HAL,90.99,0.48,5.14,832.48,10,0,0,Neutral,65,Institutional Support
HAS,92.92,0.69,3.88,139.61,10,0,0,Neutral,65,Institutional Support
HBAN,68.07,0.75,6.93,1555.82,10,0,0,Neutral,60,Institutional Support
HCA,61.38,31.3,2.49,158.16,10,0,0,Neutral,65,Institutional Support
HD,74.01,0.07,1.18,993.91,10,0,0,Neutral,65,Institutional Support
HES,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
HIG,94.84,0.32,2.44,275.55,10,0,0,Neutral,70,Strong Institutional Support
HII,96.3,0.66,4.4,38.99,10,0,0,Neutral,65,Institutional Support
HLT,99.71,2.08,3.19,228.22,10,0,0,Neutral,65,Institutional Support
HOLX,97.09,0.83,1.95,221.21,10,0,0,Neutral,70,Strong Institutional Support
HON,81.54,0.11,1.85,603.33,10,0,0,Neutral,70,Strong Institutional Support
HPE,92.67,0.44,7.18,1327.89,10,0,0,Neutral,65,Institutional Support
HPQ,86.19,0.24,12.71,914.89,10,0,0,Neutral,55,Institutional Support
HRL,91.17,0.46,6.76,290.54,10,0,0,Neutral,65,Institutional Support
HSIC,109.96,0.89,5.02,98.18,10,0,0,Neutral,65,Institutional Support
HST,109.08,1.38,7.56,641.44,10,0,0,Neutral,65,Institutional Support
HSY,88.66,0.35,7.68,145.16,10,0,0,Neutral,65,Institutional Support
HUBB,97.65,0.39,6.44,52.94,10,0,0,Neutral,65,Institutional Support
HUM,98.34,0.21,5.7,120.03,10,0,0,Neutral,65,Institutional Support
HWM,94.17,1.14,3.8,397.88,10,0,0,Neutral,65,Institutional Support
IBM,64.3,0.12,2.36,934.34,10,0,0,Neutral,65,Institutional Support
ICE,94.85,0.94,1.38,563.9,10,0,0,Neutral,70,Strong Institutional Support
IDXX,102.12,0.68,3.14,79.04,10,0,0,Neutral,65,Institutional Support
IEX,104.71,0.24,4.13,74.58,10,0,0,Neutral,65,Institutional Support
IFF,97.51,1.97,3.87,255.53,10,0,0,Neutral,65,Institutional Support
ILMN,105.66,0.19,6.6,148.74,10,0,0,Neutral,65,Institutional Support
INCY,106.03,1.89,7.75,164.31,10,0,0,Neutral,65,Institutional Support
INTC,60.89,1.81,2.68,4986.56,10,0,0,Neutral,65,Institutional Support
INTU,91.24,2.33,2.1,272.16,10,0,0,Neutral,70,Strong Institutional Support
INVH,103.48,0.31,3.92,559.25,10,0,0,Neutral,65,Institutional Support
IP,105.24,0.34,12.33,525.11,10,0,0,Neutral,55,Institutional Support
IPG,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
IQV,100.8,1.0,2.85,161.0,10,0,0,Neutral,70,Strong Institutional Support
IR,106.19,0.26,6.07,393.9,10,0,0,Neutral,65,Institutional Support
IRM,88.16,0.78,4.2,292.99,10,0,0,Neutral,65,Institutional Support
ISRG,88.83,0.54,2.02,352.97,10,0,0,Neutral,70,Strong Institutional Support
IT,107.39,3.28,7.61,69.62,10,0,0,Neutral,65,Institutional Support
ITW,84.96,0.34,2.66,262.57,10,0,0,Neutral,70,Strong Institutional Support
IVZ,96.03,0.65,5.78,332.81,10,0,0,Neutral,65,Institutional Support
J,92.29,0.61,3.28,115.9,10,0,0,Neutral,65,Institutional Support
JBHT,78.83,20.46,3.58,75.04,10,0,0,Neutral,60,Institutional Support
JBL,99.23,1.34,4.07,103.48,10,0,0,Neutral,65,Institutional Support
JCI,95.62,0.19,2.6,609.97,10,0,0,Neutral,70,Strong Institutional Support
JKHY,100.28,0.59,4.8,71.68,10,0,0,Neutral,65,Institutional Support
JNJ,75.59,0.05,0.89,2405.58,10,0,0,Neutral,65,Institutional Support
JNPR,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
JPM,74.17,0.38,0.75,2681.88,10,0,0,Neutral,65,Institutional Support
K,87.64,0.51,3.54,343.08,10,0,0,Neutral,65,Institutional Support
KDP,93.97,4.96,3.37,1218.26,10,0,0,Neutral,65,Institutional Support
